#    L    TT             EE             BB             TE             PP             TP             EP          
   160    0.45355E+03    0.92401E+00    0.00000E+00   -0.14260E+02    0.49826E-07    0.24145E-03   -0.59883E-06
   161    0.45170E+03    0.91580E+00    0.00000E+00   -0.14086E+02    0.49521E-07    0.23905E-03   -0.59662E-06
   162    0.44979E+03    0.90726E+00    0.00000E+00   -0.13908E+02    0.49219E-07    0.23668E-03   -0.59460E-06
   163    0.44800E+03    0.89847E+00    0.00000E+00   -0.13722E+02    0.48920E-07    0.23434E-03   -0.59270E-06
   164    0.44602E+03    0.88949E+00    0.00000E+00   -0.13531E+02    0.48623E-07    0.23202E-03   -0.59086E-06
   165    0.44416E+03    0.88027E+00    0.00000E+00   -0.13333E+02    0.48329E-07    0.22974E-03   -0.58902E-06
   166    0.44229E+03    0.87093E+00    0.00000E+00   -0.13129E+02    0.48037E-07    0.22748E-03   -0.58710E-06
   167    0.44048E+03    0.86128E+00    0.00000E+00   -0.12921E+02    0.47749E-07    0.22526E-03   -0.58504E-06
   168    0.43853E+03    0.85166E+00    0.00000E+00   -0.12706E+02    0.47462E-07    0.22306E-03   -0.58278E-06
   169    0.43659E+03    0.84179E+00    0.00000E+00   -0.12485E+02    0.47179E-07    0.22088E-03   -0.58025E-06
   170    0.43467E+03    0.83189E+00    0.00000E+00   -0.12258E+02    0.46898E-07    0.21874E-03   -0.57738E-06
   171    0.43262E+03    0.82196E+00    0.00000E+00   -0.12025E+02    0.46619E-07    0.21662E-03   -0.57412E-06
   172    0.43054E+03    0.81193E+00    0.00000E+00   -0.11787E+02    0.46343E-07    0.21453E-03   -0.57040E-06
   173    0.42835E+03    0.80179E+00    0.00000E+00   -0.11543E+02    0.46069E-07    0.21246E-03   -0.56614E-06
   174    0.42622E+03    0.79185E+00    0.00000E+00   -0.11295E+02    0.45798E-07    0.21042E-03   -0.56129E-06
   175    0.42408E+03    0.78180E+00    0.00000E+00   -0.11041E+02    0.45530E-07    0.20841E-03   -0.55578E-06
   176    0.42179E+03    0.77188E+00    0.00000E+00   -0.10781E+02    0.45263E-07    0.20642E-03   -0.54957E-06
   177    0.41950E+03    0.76200E+00    0.00000E+00   -0.10518E+02    0.44999E-07    0.20445E-03   -0.54265E-06
   178    0.41716E+03    0.75238E+00    0.00000E+00   -0.10250E+02    0.44738E-07    0.20251E-03   -0.53508E-06
   179    0.41477E+03    0.74274E+00    0.00000E+00   -0.99758E+01    0.44479E-07    0.20059E-03   -0.52687E-06
   180    0.41249E+03    0.73328E+00    0.00000E+00   -0.96978E+01    0.44222E-07    0.19869E-03   -0.51806E-06
   181    0.41010E+03    0.72402E+00    0.00000E+00   -0.94157E+01    0.43967E-07    0.19682E-03   -0.50868E-06
   182    0.40769E+03    0.71503E+00    0.00000E+00   -0.91279E+01    0.43715E-07    0.19497E-03   -0.49876E-06
   183    0.40519E+03    0.70622E+00    0.00000E+00   -0.88360E+01    0.43465E-07    0.19314E-03   -0.48833E-06
   184    0.40277E+03    0.69768E+00    0.00000E+00   -0.85390E+01    0.43217E-07    0.19133E-03   -0.47741E-06
   185    0.40035E+03    0.68956E+00    0.00000E+00   -0.82392E+01    0.42972E-07    0.18955E-03   -0.46605E-06
   186    0.39758E+03    0.68170E+00    0.00000E+00   -0.79335E+01    0.42728E-07    0.18778E-03   -0.45428E-06
   187    0.39513E+03    0.67426E+00    0.00000E+00   -0.76233E+01    0.42487E-07    0.18604E-03   -0.44211E-06
   188    0.39264E+03    0.66722E+00    0.00000E+00   -0.73102E+01    0.42248E-07    0.18432E-03   -0.42959E-06
   189    0.39004E+03    0.66061E+00    0.00000E+00   -0.69924E+01    0.42011E-07    0.18261E-03   -0.41674E-06
   190    0.38780E+03    0.65448E+00    0.00000E+00   -0.66723E+01    0.41776E-07    0.18093E-03   -0.40360E-06
   191    0.38517E+03    0.64887E+00    0.00000E+00   -0.63467E+01    0.41543E-07    0.17927E-03   -0.39019E-06
   192    0.38268E+03    0.64378E+00    0.00000E+00   -0.60179E+01    0.41312E-07    0.17762E-03   -0.37655E-06
   193    0.38013E+03    0.63927E+00    0.00000E+00   -0.56873E+01    0.41083E-07    0.17600E-03   -0.36270E-06
   194    0.37774E+03    0.63535E+00    0.00000E+00   -0.53525E+01    0.40857E-07    0.17439E-03   -0.34868E-06
   195    0.37530E+03    0.63208E+00    0.00000E+00   -0.50158E+01    0.40632E-07    0.17280E-03   -0.33452E-06
