#    L    TT             EE             TE             PP             TP          
   219    0.32087E+03    0.83748E+00    0.35389E+01    0.16543E+07    0.23717E+04
   220    0.31841E+03    0.86165E+00    0.39153E+01    0.16459E+07    0.23512E+04
   221    0.31595E+03    0.88732E+00    0.42939E+01    0.16376E+07    0.23309E+04
   222    0.31348E+03    0.91464E+00    0.46737E+01    0.16294E+07    0.23108E+04
   223    0.31085E+03    0.94354E+00    0.50560E+01    0.16212E+07    0.22910E+04
   224    0.30837E+03    0.97400E+00    0.54378E+01    0.16131E+07    0.22713E+04
   225    0.30581E+03    0.10062E+01    0.58224E+01    0.16051E+07    0.22519E+04
   226    0.30325E+03    0.10401E+01    0.62068E+01    0.15971E+07    0.22327E+04
   227    0.30060E+03    0.10757E+01    0.65929E+01    0.15892E+07    0.22136E+04
   228    0.29801E+03    0.11130E+01    0.69799E+01    0.15814E+07    0.21948E+04
   229    0.29542E+03    0.11521E+01    0.73668E+01    0.15736E+07    0.21762E+04
   230    0.29275E+03    0.11931E+01    0.77549E+01    0.15659E+07    0.21578E+04
   231    0.28999E+03    0.12358E+01    0.81441E+01    0.15583E+07    0.21396E+04
   232    0.28730E+03    0.12804E+01    0.85333E+01    0.15507E+07    0.21216E+04
   233    0.28459E+03    0.13269E+01    0.89216E+01    0.15431E+07    0.21037E+04
   234    0.28173E+03    0.13754E+01    0.93104E+01    0.15357E+07    0.20861E+04
   235    0.27893E+03    0.14257E+01    0.96987E+01    0.15283E+07    0.20686E+04
   236    0.27605E+03    0.14780E+01    0.10087E+02    0.15209E+07    0.20514E+04
   237    0.27315E+03    0.15323E+01    0.10474E+02    0.15136E+07    0.20343E+04
   238    0.27024E+03    0.15886E+01    0.10862E+02    0.15064E+07    0.20174E+04
   239    0.26739E+03    0.16469E+01    0.11248E+02    0.14992E+07    0.20006E+04
   240    0.26437E+03    0.17072E+01    0.11633E+02    0.14921E+07    0.19841E+04
   241    0.26150E+03    0.17697E+01    0.12016E+02    0.14850E+07    0.19677E+04
   242    0.25860E+03    0.18341E+01    0.12399E+02    0.14780E+07    0.19515E+04
   243    0.25570E+03    0.19007E+01    0.12779E+02    0.14710E+07    0.19354E+04
