#    L    TT             EE             BB             TE          
   239    0.54378E+04    0.17520E+01    0.16048E-01    0.49210E+02
   240    0.54245E+04    0.18154E+01    0.16184E-01    0.50853E+02
   241    0.54107E+04    0.18810E+01    0.16321E-01    0.52492E+02
   242    0.53963E+04    0.19486E+01    0.16457E-01    0.54126E+02
   243    0.53813E+04    0.20184E+01    0.16594E-01    0.55753E+02
   244    0.53658E+04    0.20903E+01    0.16731E-01    0.57374E+02
   245    0.53496E+04    0.21644E+01    0.16867E-01    0.58987E+02
   246    0.53329E+04    0.22407E+01    0.17004E-01    0.60591E+02
   247    0.53158E+04    0.23191E+01    0.17140E-01    0.62186E+02
   248    0.52980E+04    0.24000E+01    0.17277E-01    0.63772E+02
   249    0.52798E+04    0.24828E+01    0.17413E-01    0.65346E+02
   250    0.52610E+04    0.25680E+01    0.17549E-01    0.66909E+02
   251    0.52418E+04    0.26553E+01    0.17685E-01    0.68460E+02
   252    0.52220E+04    0.27449E+01    0.17821E-01    0.69999E+02
   253    0.52018E+04    0.28367E+01    0.17956E-01    0.71523E+02
   254    0.51811E+04    0.29308E+01    0.18092E-01    0.73033E+02
   255    0.51598E+04    0.30270E+01    0.18227E-01    0.74529E+02
   256    0.51381E+04    0.31256E+01    0.18362E-01    0.76011E+02
   257    0.51160E+04    0.32262E+01    0.18496E-01    0.77471E+02
   258    0.50934E+04    0.33292E+01    0.18631E-01    0.78921E+02
   259    0.50704E+04    0.34344E+01    0.18765E-01    0.80346E+02
   260    0.50469E+04    0.35418E+01    0.18898E-01    0.81762E+02
   261    0.50230E+04    0.36513E+01    0.19032E-01    0.83146E+02
   262    0.49986E+04    0.37632E+01    0.19165E-01    0.84521E+02
   263    0.49741E+04    0.38772E+01    0.19298E-01    0.85879E+02
   264    0.49490E+04    0.39934E+01    0.19430E-01    0.87212E+02
   265    0.49234E+04    0.41117E+01    0.19562E-01    0.88514E+02
   266    0.48975E+04    0.42323E+01    0.19694E-01    0.89807E+02
   267    0.48711E+04    0.43548E+01    0.19825E-01    0.91068E+02
   268    0.48443E+04    0.44797E+01    0.19956E-01    0.92312E+02
   269    0.48171E+04    0.46066E+01    0.20086E-01    0.93532E+02
   270    0.47896E+04    0.47356E+01    0.20216E-01    0.94728E+02
   271    0.47618E+04    0.48665E+01    0.20345E-01    0.95900E+02
   272    0.47337E+04    0.49998E+01    0.20474E-01    0.97040E+02
   273    0.47052E+04    0.51348E+01    0.20602E-01    0.98164E+02
   274    0.46765E+04    0.52720E+01    0.20730E-01    0.99249E+02
   275    0.46473E+04    0.54111E+01    0.20858E-01    0.10032E+03
   276    0.46180E+04    0.55521E+01    0.20985E-01    0.10135E+03
   277    0.45883E+04    0.56950E+01    0.21111E-01    0.10236E+03
   278    0.45584E+04    0.58399E+01    0.21237E-01    0.10334E+03
   279    0.45282E+04    0.59866E+01    0.21362E-01    0.10428E+03
   280    0.44977E+04    0.61351E+01    0.21487E-01    0.10521E+03
   281    0.44672E+04    0.62855E+01    0.21611E-01    0.10610E+03
   282    0.44362E+04    0.64375E+01    0.21735E-01    0.10695E+03
   283    0.44050E+04    0.65913E+01    0.21858E-01    0.10778E+03
   284    0.43737E+04    0.67468E+01    0.21981E-01    0.10857E+03
   285    0.43422E+04    0.69041E+01    0.22103E-01    0.10934E+03
   286    0.43105E+04    0.70628E+01    0.22224E-01    0.11007E+03
   287    0.42785E+04    0.72232E+01    0.22345E-01    0.11077E+03
   288    0.42464E+04    0.73851E+01    0.22465E-01    0.11143E+03
   289    0.42142E+04    0.75485E+01    0.22585E-01    0.11207E+03
   290    0.41818E+04    0.77132E+01    0.22704E-01    0.11267E+03
   291    0.41493E+04    0.78800E+01    0.22823E-01    0.11323E+03
   292    0.41164E+04    0.80477E+01    0.22941E-01    0.11376E+03
   293    0.40837E+04    0.82160E+01    0.23058E-01    0.11425E+03
   294    0.40507E+04    0.83863E+01    0.23174E-01    0.11471E+03
   295    0.40178E+04    0.85572E+01    0.23290E-01    0.11513E+03
   296    0.39847E+04    0.87302E+01    0.23406E-01    0.11552E+03
   297    0.39515E+04    0.89029E+01    0.23521E-01    0.11588E+03
   298    0.39181E+04    0.90777E+01    0.23635E-01    0.11619E+03
   299    0.38848E+04    0.92538E+01    0.23749E-01    0.11647E+03
   300    0.38514E+04    0.94297E+01    0.23861E-01    0.11670E+03
   301    0.38179E+04    0.96068E+01    0.23974E-01    0.11691E+03
   302    0.37845E+04    0.97845E+01    0.24085E-01    0.11708E+03
   303    0.37510E+04    0.99634E+01    0.24197E-01    0.11722E+03
   304    0.37175E+04    0.10144E+02    0.24307E-01    0.11730E+03
   305    0.36841E+04    0.10324E+02    0.24417E-01    0.11736E+03
   306    0.36506E+04    0.10504E+02    0.24526E-01    0.11737E+03
   307    0.36171E+04    0.10685E+02    0.24635E-01    0.11735E+03
   308    0.35837E+04    0.10868E+02    0.24743E-01    0.11730E+03
   309    0.35504E+04    0.11050E+02    0.24850E-01    0.11720E+03
   310    0.35170E+04    0.11232E+02    0.24956E-01    0.11707E+03
   311    0.34838E+04    0.11416E+02    0.25063E-01    0.11689E+03
   312    0.34507E+04    0.11599E+02    0.25168E-01    0.11668E+03
   313    0.34176E+04    0.11783E+02    0.25273E-01    0.11643E+03
   314    0.33846E+04    0.11967E+02    0.25377E-01    0.11615E+03
   315    0.33517E+04    0.12150E+02    0.25480E-01    0.11583E+03
   316    0.33189E+04    0.12333E+02    0.25583E-01    0.11547E+03
   317    0.32863E+04    0.12516E+02    0.25686E-01    0.11507E+03
   318    0.32537E+04    0.12699E+02    0.25787E-01    0.11463E+03
   319    0.32214E+04    0.12882E+02    0.25889E-01    0.11416E+03
   320    0.31892E+04    0.13065E+02    0.25989E-01    0.11366E+03
   321    0.31571E+04    0.13248E+02    0.26089E-01    0.11312E+03
   322    0.31252E+04    0.13429E+02    0.26188E-01    0.11253E+03
   323    0.30935E+04    0.13610E+02    0.26287E-01    0.11192E+03
   324    0.30619E+04    0.13792E+02    0.26385E-01    0.11125E+03
   325    0.30306E+04    0.13970E+02    0.26483E-01    0.11057E+03
   326    0.29994E+04    0.14150E+02    0.26580E-01    0.10984E+03
   327    0.29685E+04    0.14329E+02    0.26677E-01    0.10907E+03
   328    0.29378E+04    0.14506E+02    0.26773E-01    0.10828E+03
   329    0.29073E+04    0.14682E+02    0.26868E-01    0.10744E+03
   330    0.28771E+04    0.14857E+02    0.26963E-01    0.10657E+03
   331    0.28471E+04    0.15031E+02    0.27057E-01    0.10567E+03
   332    0.28174E+04    0.15205E+02    0.27151E-01    0.10474E+03
   333    0.27879E+04    0.15377E+02    0.27245E-01    0.10378E+03
   334    0.27587E+04    0.15548E+02    0.27338E-01    0.10278E+03
   335    0.27297E+04    0.15716E+02    0.27430E-01    0.10174E+03
   336    0.27010E+04    0.15884E+02    0.27522E-01    0.10068E+03
   337    0.26727E+04    0.16050E+02    0.27614E-01    0.99571E+02
   338    0.26446E+04    0.16214E+02    0.27705E-01    0.98443E+02
   339    0.26169E+04    0.16378E+02    0.27796E-01    0.97279E+02
   340    0.25894E+04    0.16539E+02    0.27886E-01    0.96095E+02
   341    0.25622E+04    0.16698E+02    0.27976E-01    0.94868E+02
   342    0.25354E+04    0.16857E+02    0.28066E-01    0.93613E+02
   343    0.25089E+04    0.17012E+02    0.28155E-01    0.92330E+02
   344    0.24828E+04    0.17166E+02    0.28244E-01    0.91019E+02
   345    0.24569E+04    0.17317E+02    0.28333E-01    0.89681E+02
   346    0.24315E+04    0.17467E+02    0.28422E-01    0.88322E+02
   347    0.24063E+04    0.17614E+02    0.28510E-01    0.86929E+02
   348    0.23816E+04    0.17758E+02    0.28598E-01    0.85507E+02
   349    0.23572E+04    0.17901E+02    0.28686E-01    0.84059E+02
   350    0.23331E+04    0.18040E+02    0.28773E-01    0.82590E+02
   351    0.23096E+04    0.18178E+02    0.28860E-01    0.81094E+02
   352    0.22863E+04    0.18313E+02    0.28948E-01    0.79570E+02
   353    0.22634E+04    0.18445E+02    0.29035E-01    0.78034E+02
   354    0.22409E+04    0.18574E+02    0.29122E-01    0.76463E+02
   355    0.22188E+04    0.18701E+02    0.29208E-01    0.74872E+02
   356    0.21971E+04    0.18826E+02    0.29295E-01    0.73269E+02
   357    0.21758E+04    0.18947E+02    0.29382E-01    0.71639E+02
   358    0.21549E+04    0.19064E+02    0.29468E-01    0.69996E+02
   359    0.21344E+04    0.19179E+02    0.29555E-01    0.68326E+02
   360    0.21143E+04    0.19292E+02    0.29641E-01    0.66641E+02
