#    L    TT             EE             BB             TE          
   278    0.17371E+03    0.56292E+01    0.17255E-01    0.23849E+02
   279    0.17173E+03    0.57728E+01    0.17359E-01    0.24072E+02
   280    0.16975E+03    0.59183E+01    0.17462E-01    0.24303E+02
   281    0.16789E+03    0.60657E+01    0.17565E-01    0.24520E+02
   282    0.16586E+03    0.62148E+01    0.17667E-01    0.24731E+02
   283    0.16395E+03    0.63658E+01    0.17769E-01    0.24938E+02
   284    0.16207E+03    0.65186E+01    0.17870E-01    0.25139E+02
   285    0.16020E+03    0.66732E+01    0.17971E-01    0.25336E+02
   286    0.15827E+03    0.68295E+01    0.18071E-01    0.25523E+02
   287    0.15635E+03    0.69874E+01    0.18171E-01    0.25713E+02
   288    0.15448E+03    0.71470E+01    0.18270E-01    0.25894E+02
   289    0.15260E+03    0.73082E+01    0.18369E-01    0.26073E+02
   290    0.15076E+03    0.74708E+01    0.18468E-01    0.26251E+02
   291    0.14896E+03    0.76356E+01    0.18565E-01    0.26413E+02
   292    0.14688E+03    0.78014E+01    0.18663E-01    0.26582E+02
   293    0.14512E+03    0.79679E+01    0.18760E-01    0.26737E+02
   294    0.14322E+03    0.81367E+01    0.18856E-01    0.26899E+02
   295    0.14153E+03    0.83060E+01    0.18952E-01    0.27049E+02
   296    0.13968E+03    0.84776E+01    0.19047E-01    0.27200E+02
   297    0.13789E+03    0.86491E+01    0.19142E-01    0.27354E+02
   298    0.13598E+03    0.88228E+01    0.19237E-01    0.27496E+02
   299    0.13419E+03    0.89979E+01    0.19330E-01    0.27635E+02
   300    0.13234E+03    0.91730E+01    0.19424E-01    0.27770E+02
   301    0.13050E+03    0.93495E+01    0.19517E-01    0.27910E+02
   302    0.12874E+03    0.95267E+01    0.19609E-01    0.28054E+02
   303    0.12697E+03    0.97053E+01    0.19701E-01    0.28188E+02
   304    0.12518E+03    0.98854E+01    0.19792E-01    0.28311E+02
   305    0.12345E+03    0.10065E+02    0.19883E-01    0.28438E+02
   306    0.12168E+03    0.10246E+02    0.19973E-01    0.28561E+02
   307    0.11994E+03    0.10427E+02    0.20062E-01    0.28674E+02
   308    0.11822E+03    0.10611E+02    0.20152E-01    0.28797E+02
   309    0.11658E+03    0.10794E+02    0.20240E-01    0.28902E+02
   310    0.11488E+03    0.10976E+02    0.20328E-01    0.29009E+02
   311    0.11324E+03    0.11161E+02    0.20416E-01    0.29105E+02
   312    0.11166E+03    0.11345E+02    0.20503E-01    0.29204E+02
   313    0.11006E+03    0.11530E+02    0.20589E-01    0.29290E+02
   314    0.10850E+03    0.11716E+02    0.20675E-01    0.29379E+02
   315    0.10696E+03    0.11900E+02    0.20761E-01    0.29455E+02
   316    0.10545E+03    0.12086E+02    0.20846E-01    0.29526E+02
   317    0.10395E+03    0.12271E+02    0.20930E-01    0.29592E+02
   318    0.10245E+03    0.12457E+02    0.21014E-01    0.29652E+02
   319    0.10102E+03    0.12642E+02    0.21098E-01    0.29706E+02
   320    0.99647E+02    0.12827E+02    0.21181E-01    0.29761E+02
   321    0.98249E+02    0.13013E+02    0.21263E-01    0.29803E+02
   322    0.96891E+02    0.13197E+02    0.21345E-01    0.29839E+02
   323    0.95563E+02    0.13382E+02    0.21426E-01    0.29868E+02
   324    0.94256E+02    0.13567E+02    0.21507E-01    0.29883E+02
   325    0.93036E+02    0.13749E+02    0.21587E-01    0.29906E+02
   326    0.91743E+02    0.13933E+02    0.21667E-01    0.29907E+02
   327    0.90519E+02    0.14115E+02    0.21747E-01    0.29909E+02
   328    0.89352E+02    0.14297E+02    0.21826E-01    0.29910E+02
   329    0.88160E+02    0.14478E+02    0.21904E-01    0.29897E+02
   330    0.87008E+02    0.14657E+02    0.21982E-01    0.29876E+02
   331    0.85961E+02    0.14836E+02    0.22059E-01    0.29854E+02
   332    0.84860E+02    0.15015E+02    0.22136E-01    0.29832E+02
   333    0.83771E+02    0.15193E+02    0.22213E-01    0.29802E+02
   334    0.82759E+02    0.15369E+02    0.22289E-01    0.29763E+02
   335    0.81666E+02    0.15544E+02    0.22365E-01    0.29715E+02
   336    0.80631E+02    0.15717E+02    0.22440E-01    0.29667E+02
   337    0.79646E+02    0.15890E+02    0.22515E-01    0.29601E+02
   338    0.78625E+02    0.16061E+02    0.22589E-01    0.29542E+02
   339    0.77710E+02    0.16231E+02    0.22663E-01    0.29474E+02
   340    0.76741E+02    0.16400E+02    0.22737E-01    0.29410E+02
   341    0.75710E+02    0.16566E+02    0.22810E-01    0.29330E+02
   342    0.74755E+02    0.16732E+02    0.22883E-01    0.29248E+02
   343    0.73794E+02    0.16895E+02    0.22955E-01    0.29163E+02
   344    0.72891E+02    0.17056E+02    0.23027E-01    0.29075E+02
   345    0.71889E+02    0.17216E+02    0.23099E-01    0.28984E+02
   346    0.70926E+02    0.17374E+02    0.23171E-01    0.28898E+02
   347    0.69920E+02    0.17530E+02    0.23242E-01    0.28801E+02
   348    0.68934E+02    0.17683E+02    0.23313E-01    0.28701E+02
   349    0.67887E+02    0.17835E+02    0.23383E-01    0.28597E+02
   350    0.66842E+02    0.17984E+02    0.23454E-01    0.28497E+02
   351    0.65940E+02    0.18132E+02    0.23524E-01    0.28393E+02
   352    0.64808E+02    0.18277E+02    0.23594E-01    0.28284E+02
   353    0.63741E+02    0.18419E+02    0.23664E-01    0.28185E+02
   354    0.62590E+02    0.18559E+02    0.23733E-01    0.28072E+02
   355    0.61502E+02    0.18697E+02    0.23802E-01    0.27959E+02
   356    0.60403E+02    0.18832E+02    0.23871E-01    0.27854E+02
   357    0.59290E+02    0.18965E+02    0.23941E-01    0.27741E+02
   358    0.58238E+02    0.19094E+02    0.24009E-01    0.27633E+02
   359    0.57096E+02    0.19220E+02    0.24078E-01    0.27515E+02
   360    0.56012E+02    0.19345E+02    0.24147E-01    0.27398E+02
   361    0.54911E+02    0.19466E+02    0.24215E-01    0.27276E+02
   362    0.53866E+02    0.19585E+02    0.24284E-01    0.27152E+02
   363    0.52802E+02    0.19701E+02    0.24352E-01    0.27027E+02
   364    0.51792E+02    0.19813E+02    0.24421E-01    0.26896E+02
   365    0.50760E+02    0.19923E+02    0.24489E-01    0.26765E+02
   366    0.49779E+02    0.20030E+02    0.24558E-01    0.26631E+02
   367    0.48850E+02    0.20132E+02    0.24626E-01    0.26494E+02
   368    0.47821E+02    0.20232E+02    0.24695E-01    0.26355E+02
   369    0.46990E+02    0.20329E+02    0.24763E-01    0.26211E+02
   370    0.46132E+02    0.20422E+02    0.24832E-01    0.26068E+02
   371    0.45246E+02    0.20512E+02    0.24900E-01    0.25919E+02
   372    0.44405E+02    0.20599E+02    0.24969E-01    0.25770E+02
   373    0.43609E+02    0.20682E+02    0.25038E-01    0.25616E+02
   374    0.42855E+02    0.20762E+02    0.25107E-01    0.25460E+02
   375    0.42070E+02    0.20839E+02    0.25176E-01    0.25302E+02
   376    0.41400E+02    0.20912E+02    0.25246E-01    0.25141E+02
   377    0.40771E+02    0.20981E+02    0.25315E-01    0.24978E+02
   378    0.40105E+02    0.21047E+02    0.25385E-01    0.24811E+02
   379    0.39478E+02    0.21109E+02    0.25455E-01    0.24643E+02
   380    0.38962E+02    0.21169E+02    0.25525E-01    0.24471E+02
   381    0.38408E+02    0.21222E+02    0.25595E-01    0.24298E+02
   382    0.37814E+02    0.21273E+02    0.25665E-01    0.24122E+02
   383    0.37327E+02    0.21321E+02    0.25736E-01    0.23943E+02
   384    0.36948E+02    0.21363E+02    0.25807E-01    0.23763E+02
   385    0.36452E+02    0.21404E+02    0.25878E-01    0.23580E+02
   386    0.36060E+02    0.21440E+02    0.25950E-01    0.23395E+02
   387    0.35624E+02    0.21471E+02    0.26022E-01    0.23207E+02
   388    0.35216E+02    0.21500E+02    0.26094E-01    0.23018E+02
   389    0.34835E+02    0.21522E+02    0.26166E-01    0.22826E+02
   390    0.34481E+02    0.21543E+02    0.26239E-01    0.22633E+02
   391    0.34151E+02    0.21559E+02    0.26312E-01    0.22437E+02
   392    0.33771E+02    0.21573E+02    0.26386E-01    0.22241E+02
   393    0.33489E+02    0.21582E+02    0.26460E-01    0.22041E+02
