#    L    TT             EE             BB             TE          
   208    0.53545E+04    0.68064E+00    0.12172E-01   -0.30697E+01
   209    0.53628E+04    0.68893E+00    0.12302E-01   -0.17058E+01
   210    0.53705E+04    0.69836E+00    0.12433E-01   -0.32507E+00
   211    0.53777E+04    0.70898E+00    0.12565E-01    0.10725E+01
   212    0.53841E+04    0.72080E+00    0.12697E-01    0.24859E+01
   213    0.53901E+04    0.73387E+00    0.12829E-01    0.39153E+01
   214    0.53954E+04    0.74818E+00    0.12962E-01    0.53594E+01
   215    0.54001E+04    0.76392E+00    0.13096E-01    0.68175E+01
   216    0.54042E+04    0.78091E+00    0.13230E-01    0.82902E+01
   217    0.54078E+04    0.79930E+00    0.13364E-01    0.97755E+01
   218    0.54107E+04    0.81909E+00    0.13499E-01    0.11274E+02
   219    0.54131E+04    0.84028E+00    0.13635E-01    0.12786E+02
   220    0.54149E+04    0.86301E+00    0.13771E-01    0.14307E+02
   221    0.54162E+04    0.88721E+00    0.13907E-01    0.15840E+02
   222    0.54168E+04    0.91303E+00    0.14043E-01    0.17383E+02
   223    0.54167E+04    0.94039E+00    0.14181E-01    0.18937E+02
   224    0.54162E+04    0.96928E+00    0.14318E-01    0.20498E+02
   225    0.54151E+04    0.99987E+00    0.14456E-01    0.22070E+02
   226    0.54134E+04    0.10321E+01    0.14594E-01    0.23648E+02
   227    0.54110E+04    0.10661E+01    0.14732E-01    0.25234E+02
   228    0.54081E+04    0.11017E+01    0.14871E-01    0.26827E+02
   229    0.54046E+04    0.11391E+01    0.15010E-01    0.28424E+02
   230    0.54005E+04    0.11783E+01    0.15149E-01    0.30028E+02
   231    0.53957E+04    0.12193E+01    0.15289E-01    0.31637E+02
   232    0.53904E+04    0.12620E+01    0.15429E-01    0.33249E+02
   233    0.53845E+04    0.13067E+01    0.15569E-01    0.34864E+02
   234    0.53779E+04    0.13532E+01    0.15709E-01    0.36481E+02
   235    0.53708E+04    0.14017E+01    0.15850E-01    0.38101E+02
   236    0.53630E+04    0.14520E+01    0.15990E-01    0.39721E+02
   237    0.53547E+04    0.15043E+01    0.16131E-01    0.41342E+02
   238    0.53457E+04    0.15586E+01    0.16272E-01    0.42963E+02
   239    0.53362E+04    0.16148E+01    0.16413E-01    0.44583E+02
   240    0.53260E+04    0.16730E+01    0.16554E-01    0.46201E+02
   241    0.53154E+04    0.17333E+01    0.16695E-01    0.47816E+02
   242    0.53041E+04    0.17956E+01    0.16837E-01    0.49429E+02
   243    0.52923E+04    0.18599E+01    0.16978E-01    0.51037E+02
   244    0.52798E+04    0.19263E+01    0.17119E-01    0.52642E+02
   245    0.52668E+04    0.19948E+01    0.17261E-01    0.54241E+02
   246    0.52533E+04    0.20654E+01    0.17402E-01    0.55834E+02
   247    0.52392E+04    0.21381E+01    0.17543E-01    0.57421E+02
   248    0.52245E+04    0.22131E+01    0.17685E-01    0.59000E+02
   249    0.52094E+04    0.22900E+01    0.17826E-01    0.60572E+02
