#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   109    0.47890E+03   -0.14867E+02    0.38312E-05   -0.14867E+02    0.82932E+00   -0.43385E-08    0.38312E-05   -0.43385E-08    0.57991E-11
   110    0.47998E+03   -0.14996E+02    0.37520E-05   -0.14996E+02    0.84077E+00   -0.40621E-08    0.37520E-05   -0.40621E-08    0.56567E-11
   111    0.48097E+03   -0.15121E+02    0.36749E-05   -0.15121E+02    0.85201E+00   -0.38455E-08    0.36749E-05   -0.38455E-08    0.55185E-11
   112    0.48189E+03   -0.15242E+02    0.35997E-05   -0.15242E+02    0.86297E+00   -0.36867E-08    0.35997E-05   -0.36867E-08    0.53844E-11
   113    0.48281E+03   -0.15358E+02    0.35265E-05   -0.15358E+02    0.87363E+00   -0.35811E-08    0.35265E-05   -0.35811E-08    0.52542E-11
   114    0.48360E+03   -0.15469E+02    0.34551E-05   -0.15469E+02    0.88394E+00   -0.35242E-08    0.34551E-05   -0.35242E-08    0.51278E-11
   115    0.48440E+03   -0.15575E+02    0.33855E-05   -0.15575E+02    0.89404E+00   -0.35115E-08    0.33855E-05   -0.35115E-08    0.50051E-11
   116    0.48502E+03   -0.15676E+02    0.33178E-05   -0.15676E+02    0.90370E+00   -0.35385E-08    0.33178E-05   -0.35385E-08    0.48861E-11
   117    0.48575E+03   -0.15772E+02    0.32517E-05   -0.15772E+02    0.91300E+00   -0.36007E-08    0.32517E-05   -0.36007E-08    0.47706E-11
   118    0.48645E+03   -0.15863E+02    0.31874E-05   -0.15863E+02    0.92210E+00   -0.36935E-08    0.31874E-05   -0.36935E-08    0.46586E-11
   119    0.48698E+03   -0.15948E+02    0.31247E-05   -0.15948E+02    0.93084E+00   -0.38125E-08    0.31247E-05   -0.38125E-08    0.45498E-11
   120    0.48750E+03   -0.16028E+02    0.30636E-05   -0.16028E+02    0.93908E+00   -0.39531E-08    0.30636E-05   -0.39531E-08    0.44443E-11
   121    0.48787E+03   -0.16103E+02    0.30041E-05   -0.16103E+02    0.94711E+00   -0.41108E-08    0.30041E-05   -0.41108E-08    0.43419E-11
   122    0.48817E+03   -0.16172E+02    0.29461E-05   -0.16172E+02    0.95463E+00   -0.42811E-08    0.29461E-05   -0.42811E-08    0.42426E-11
   123    0.48841E+03   -0.16236E+02    0.28895E-05   -0.16236E+02    0.96173E+00   -0.44594E-08    0.28895E-05   -0.44594E-08    0.41461E-11
   124    0.48859E+03   -0.16292E+02    0.28344E-05   -0.16292E+02    0.96848E+00   -0.46414E-08    0.28344E-05   -0.46414E-08    0.40525E-11
   125    0.48866E+03   -0.16344E+02    0.27806E-05   -0.16344E+02    0.97480E+00   -0.48223E-08    0.27806E-05   -0.48223E-08    0.39616E-11
   126    0.48869E+03   -0.16390E+02    0.27281E-05   -0.16390E+02    0.98077E+00   -0.49978E-08    0.27281E-05   -0.49978E-08    0.38733E-11
   127    0.48862E+03   -0.16431E+02    0.26770E-05   -0.16431E+02    0.98624E+00   -0.51633E-08    0.26770E-05   -0.51633E-08    0.37875E-11
   128    0.48845E+03   -0.16466E+02    0.26270E-05   -0.16466E+02    0.99137E+00   -0.53142E-08    0.26270E-05   -0.53142E-08    0.37041E-11
   129    0.48827E+03   -0.16494E+02    0.25782E-05   -0.16494E+02    0.99599E+00   -0.54462E-08    0.25782E-05   -0.54462E-08    0.36231E-11
   130    0.48801E+03   -0.16517E+02    0.25306E-05   -0.16517E+02    0.10001E+01   -0.55545E-08    0.25306E-05   -0.55545E-08    0.35442E-11
   131    0.48769E+03   -0.16534E+02    0.24841E-05   -0.16534E+02    0.10039E+01   -0.56359E-08    0.24841E-05   -0.56359E-08    0.34674E-11
   132    0.48738E+03   -0.16545E+02    0.24386E-05   -0.16545E+02    0.10072E+01   -0.56911E-08    0.24386E-05   -0.56911E-08    0.33927E-11
   133    0.48694E+03   -0.16551E+02    0.23942E-05   -0.16551E+02    0.10101E+01   -0.57219E-08    0.23942E-05   -0.57219E-08    0.33200E-11
   134    0.48647E+03   -0.16549E+02    0.23508E-05   -0.16549E+02    0.10125E+01   -0.57301E-08    0.23508E-05   -0.57301E-08    0.32493E-11
   135    0.48598E+03   -0.16541E+02    0.23084E-05   -0.16541E+02    0.10145E+01   -0.57176E-08    0.23084E-05   -0.57176E-08    0.31804E-11
   136    0.48532E+03   -0.16526E+02    0.22670E-05   -0.16526E+02    0.10159E+01   -0.56862E-08    0.22670E-05   -0.56862E-08    0.31134E-11
   137    0.48465E+03   -0.16505E+02    0.22265E-05   -0.16505E+02    0.10170E+01   -0.56377E-08    0.22265E-05   -0.56377E-08    0.30482E-11
   138    0.48392E+03   -0.16477E+02    0.21870E-05   -0.16477E+02    0.10175E+01   -0.55740E-08    0.21870E-05   -0.55740E-08    0.29848E-11
   139    0.48298E+03   -0.16442E+02    0.21483E-05   -0.16442E+02    0.10177E+01   -0.54970E-08    0.21483E-05   -0.54970E-08    0.29230E-11
   140    0.48214E+03   -0.16401E+02    0.21106E-05   -0.16401E+02    0.10174E+01   -0.54084E-08    0.21106E-05   -0.54084E-08    0.28629E-11
   141    0.48113E+03   -0.16353E+02    0.20736E-05   -0.16353E+02    0.10166E+01   -0.53100E-08    0.20736E-05   -0.53100E-08    0.28044E-11
   142    0.48016E+03   -0.16299E+02    0.20375E-05   -0.16299E+02    0.10153E+01   -0.52038E-08    0.20375E-05   -0.52038E-08    0.27474E-11
   143    0.47917E+03   -0.16239E+02    0.20022E-05   -0.16239E+02    0.10137E+01   -0.50915E-08    0.20022E-05   -0.50915E-08    0.26920E-11
   144    0.47804E+03   -0.16173E+02    0.19677E-05   -0.16173E+02    0.10115E+01   -0.49751E-08    0.19677E-05   -0.49751E-08    0.26379E-11
   145    0.47684E+03   -0.16100E+02    0.19340E-05   -0.16100E+02    0.10090E+01   -0.48562E-08    0.19340E-05   -0.48562E-08    0.25853E-11
   146    0.47581E+03   -0.16021E+02    0.19009E-05   -0.16021E+02    0.10060E+01   -0.47368E-08    0.19009E-05   -0.47368E-08    0.25340E-11
   147    0.47451E+03   -0.15935E+02    0.18686E-05   -0.15935E+02    0.10026E+01   -0.46187E-08    0.18686E-05   -0.46187E-08    0.24840E-11
   148    0.47318E+03   -0.15844E+02    0.18370E-05   -0.15844E+02    0.99879E+00   -0.45037E-08    0.18370E-05   -0.45037E-08    0.24353E-11
